,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
1508,New York Islanders,1995,22,50,,0.268,229,315,-86.0
1509,New York Rangers,1995,41,27,,0.5,272,237,35.0
1510,Ottawa Senators,1995,18,59,,0.22,191,291,-100.0
1511,Philadelphia Flyers,1995,45,24,,0.549,282,208,74.0
1512,Pittsburgh Penguins,1995,49,29,,0.598,362,284,78.0
1513,San Jose Sharks,1995,20,55,,0.244,252,357,-105.0
1514,St. Louis Blues,1995,32,34,,0.39,219,248,-29.0
1515,Tampa Bay Lightning,1995,38,32,,0.463,238,248,-10.0
1516,Toronto Maple Leafs,1995,34,36,,0.415,247,252,-5.0
1517,Vancouver Canucks,1995,32,35,,0.39,278,278,0.0
1518,Washington Capitals,1995,39,32,,0.476,234,204,30.0
1519,Winnipeg Jets,1995,36,40,,0.439,275,291,-16.0
1520,Mighty Ducks of Anaheim,1996,36,33,,0.439,245,233,12.0
1521,Boston Bruins,1996,26,47,,0.317,234,300,-66.0
1522,Buffalo Sabres,1996,40,30,,0.488,237,208,29.0
1523,Calgary Flames,1996,32,41,,0.39,214,239,-25.0
1524,Chicago Blackhawks,1996,34,35,,0.415,223,210,13.0
1525,Colorado Avalanche,1996,49,24,,0.598,277,205,72.0
1526,Dallas Stars,1996,48,26,,0.585,252,198,54.0
1527,Detroit Red Wings,1996,38,26,,0.463,253,197,56.0
1528,Edmonton Oilers,1996,36,37,,0.439,252,247,5.0
1529,Florida Panthers,1996,35,28,,0.427,221,201,20.0
1530,Hartford Whalers,1996,32,39,,0.39,226,256,-30.0
1531,Los Angeles Kings,1996,28,43,,0.341,214,268,-54.0
1532,Montreal Canadiens,1996,31,36,,0.378,249,276,-27.0
1533,New Jersey Devils,1996,45,23,,0.549,231,182,49.0
1534,New York Islanders,1996,29,41,,0.354,240,250,-10.0
1535,New York Rangers,1996,38,34,,0.463,258,231,27.0
1536,Ottawa Senators,1996,31,36,,0.378,226,234,-8.0
1537,Philadelphia Flyers,1996,45,24,,0.549,274,217,57.0
1538,Phoenix Coyotes,1996,38,37,,0.463,240,243,-3.0
1539,Pittsburgh Penguins,1996,38,36,,0.463,285,280,5.0
1540,San Jose Sharks,1996,27,47,,0.329,211,278,-67.0
1541,St. Louis Blues,1996,36,35,,0.439,236,239,-3.0
1542,Tampa Bay Lightning,1996,32,40,,0.39,217,247,-30.0
1543,Toronto Maple Leafs,1996,30,44,,0.366,230,273,-43.0
1544,Vancouver Canucks,1996,35,40,,0.427,257,273,-16.0
1545,Washington Capitals,1996,33,40,,0.402,214,231,-17.0
1546,Mighty Ducks of Anaheim,1997,26,43,,0.317,205,261,-56.0
1547,Boston Bruins,1997,39,30,,0.476,221,194,27.0
1548,Buffalo Sabres,1997,36,29,,0.439,211,187,24.0
1549,Calgary Flames,1997,26,41,,0.317,217,252,-35.0
1550,Carolina Hurricanes,1997,33,41,,0.402,200,219,-19.0
1551,Chicago Blackhawks,1997,30,39,,0.366,192,199,-7.0
1552,Colorado Avalanche,1997,39,26,,0.476,231,205,26.0
1553,Dallas Stars,1997,49,22,,0.598,242,167,75.0
1554,Detroit Red Wings,1997,44,23,,0.537,250,196,54.0
1555,Edmonton Oilers,1997,35,37,,0.427,215,224,-9.0
1556,Florida Panthers,1997,24,43,,0.293,203,256,-53.0
1557,Los Angeles Kings,1997,38,33,,0.463,227,225,2.0
1558,Montreal Canadiens,1997,37,32,,0.451,235,208,27.0
1559,New Jersey Devils,1997,48,23,,0.585,225,166,59.0
1560,New York Islanders,1997,30,41,,0.366,212,225,-13.0
1561,New York Rangers,1997,25,39,,0.305,197,231,-34.0
1562,Ottawa Senators,1997,34,33,,0.415,193,200,-7.0
1563,Philadelphia Flyers,1997,42,29,,0.512,242,193,49.0
1564,Phoenix Coyotes,1997,35,35,,0.427,224,227,-3.0
1565,Pittsburgh Penguins,1997,40,24,,0.488,228,188,40.0
1566,San Jose Sharks,1997,34,38,,0.415,210,216,-6.0
1567,St. Louis Blues,1997,45,29,,0.549,256,204,52.0
1568,Tampa Bay Lightning,1997,17,55,,0.207,151,269,-118.0
1569,Toronto Maple Leafs,1997,30,43,,0.366,194,237,-43.0
1570,Vancouver Canucks,1997,25,43,,0.305,224,273,-49.0
1571,Washington Capitals,1997,40,30,,0.488,219,202,17.0
1572,Mighty Ducks of Anaheim,1998,35,34,,0.427,215,206,9.0
1573,Boston Bruins,1998,39,30,,0.476,214,181,33.0
1574,Buffalo Sabres,1998,37,28,,0.451,207,175,32.0
1575,Calgary Flames,1998,30,40,,0.366,211,234,-23.0
1576,Carolina Hurricanes,1998,34,30,,0.415,210,202,8.0
1577,Chicago Blackhawks,1998,29,41,,0.354,202,248,-46.0
1578,Colorado Avalanche,1998,44,28,,0.537,239,205,34.0
1579,Dallas Stars,1998,51,19,,0.622,236,168,68.0
1580,Detroit Red Wings,1998,43,32,,0.524,245,202,43.0
1581,Edmonton Oilers,1998,33,37,,0.402,230,226,4.0
1582,Florida Panthers,1998,30,34,,0.366,210,228,-18.0
1583,Los Angeles Kings,1998,32,45,,0.39,189,222,-33.0
1584,Montreal Canadiens,1998,32,39,,0.39,184,209,-25.0
1585,Nashville Predators,1998,28,47,,0.341,190,261,-71.0
1586,New Jersey Devils,1998,47,24,,0.573,248,196,52.0
1587,New York Islanders,1998,24,48,,0.293,194,244,-50.0
1588,New York Rangers,1998,33,38,,0.402,217,227,-10.0
1589,Ottawa Senators,1998,44,23,,0.537,239,179,60.0
1590,Philadelphia Flyers,1998,37,26,,0.451,231,196,35.0
1591,Phoenix Coyotes,1998,39,31,,0.476,205,197,8.0
1592,Pittsburgh Penguins,1998,38,30,,0.463,242,225,17.0
1593,San Jose Sharks,1998,31,33,,0.378,196,191,5.0
1594,St. Louis Blues,1998,37,32,,0.451,237,209,28.0
1595,Tampa Bay Lightning,1998,19,54,,0.232,179,292,-113.0
1596,Toronto Maple Leafs,1998,45,30,,0.549,268,231,37.0
1597,Vancouver Canucks,1998,23,47,,0.28,192,258,-66.0
1598,Washington Capitals,1998,31,45,,0.378,200,218,-18.0
1599,Mighty Ducks of Anaheim,1999,34,33,3,0.415,217,227,-10.0
1600,Atlanta Thrashers,1999,14,57,4,0.171,170,313,-143.0
1601,Boston Bruins,1999,24,33,6,0.293,210,248,-38.0
1602,Buffalo Sabres,1999,35,32,4,0.427,213,204,9.0
1603,Calgary Flames,1999,31,36,5,0.378,211,256,-45.0
1604,Carolina Hurricanes,1999,37,35,0,0.451,217,216,1.0
1605,Chicago Blackhawks,1999,33,37,2,0.402,242,245,-3.0
1606,Colorado Avalanche,1999,42,28,1,0.512,233,201,32.0
1607,Dallas Stars,1999,43,23,6,0.524,211,184,27.0
1608,Detroit Red Wings,1999,48,22,2,0.585,278,210,68.0
1609,Edmonton Oilers,1999,32,26,8,0.39,226,212,14.0
1610,Florida Panthers,1999,43,27,6,0.524,244,209,35.0
1611,Los Angeles Kings,1999,39,27,4,0.476,245,228,17.0
1612,Montreal Canadiens,1999,35,34,4,0.427,196,194,2.0
1613,Nashville Predators,1999,28,40,7,0.341,199,240,-41.0
1614,New Jersey Devils,1999,45,24,5,0.549,251,203,48.0
1615,New York Islanders,1999,24,48,1,0.293,194,275,-81.0
1616,New York Rangers,1999,29,38,3,0.354,218,246,-28.0
1617,Ottawa Senators,1999,41,28,2,0.5,244,210,34.0
1618,Philadelphia Flyers,1999,45,22,3,0.549,237,179,58.0
1619,Phoenix Coyotes,1999,39,31,4,0.476,232,228,4.0
1620,Pittsburgh Penguins,1999,37,31,6,0.451,241,236,5.0
1621,San Jose Sharks,1999,35,30,7,0.427,225,214,11.0
1622,St. Louis Blues,1999,51,19,1,0.622,248,165,83.0
1623,Tampa Bay Lightning,1999,19,47,7,0.232,204,310,-106.0
1624,Toronto Maple Leafs,1999,45,27,3,0.549,246,222,24.0
1625,Vancouver Canucks,1999,30,29,8,0.366,227,237,-10.0
1626,Washington Capitals,1999,44,24,2,0.537,227,194,33.0
1627,Mighty Ducks of Anaheim,2000,25,41,5,0.305,188,245,-57.0
1628,Atlanta Thrashers,2000,23,45,2,0.28,211,289,-78.0
1629,Boston Bruins,2000,36,30,8,0.439,227,249,-22.0
1630,Buffalo Sabres,2000,46,30,1,0.561,218,184,34.0
1631,Calgary Flames,2000,27,36,4,0.329,197,236,-39.0
1632,Carolina Hurricanes,2000,38,32,3,0.463,212,225,-13.0
1633,Columbus Blue Jackets,2000,28,39,6,0.341,190,233,-43.0
1634,Chicago Blackhawks,2000,29,40,5,0.354,210,246,-36.0
1635,Colorado Avalanche,2000,52,16,4,0.634,270,192,78.0
1636,Dallas Stars,2000,48,24,2,0.585,241,187,54.0
1637,Detroit Red Wings,2000,49,20,4,0.598,253,202,51.0
1638,Edmonton Oilers,2000,39,28,3,0.476,243,222,21.0
1639,Florida Panthers,2000,22,38,9,0.268,200,246,-46.0
1640,Los Angeles Kings,2000,38,28,3,0.463,252,228,24.0
1641,Minnesota Wild,2000,25,39,5,0.305,168,210,-42.0
1642,Montreal Canadiens,2000,28,40,6,0.341,206,232,-26.0
1643,Nashville Predators,2000,34,36,3,0.415,186,200,-14.0
1644,New Jersey Devils,2000,48,19,3,0.585,295,195,100.0
1645,New York Islanders,2000,21,51,3,0.256,185,268,-83.0
1646,New York Rangers,2000,33,43,1,0.402,250,290,-40.0
1647,Ottawa Senators,2000,48,21,4,0.585,274,205,69.0
1648,Philadelphia Flyers,2000,43,25,3,0.524,240,207,33.0
1649,Phoenix Coyotes,2000,35,27,3,0.427,214,212,2.0
1650,Boston Bruins,1990,44,24,,0.55,299,264,35.0
1651,Buffalo Sabres,1990,31,30,,0.388,292,278,14.0
1652,Calgary Flames,1990,46,26,,0.575,344,263,81.0
1653,Chicago Blackhawks,1990,49,23,,0.613,284,211,73.0
1654,Detroit Red Wings,1990,34,38,,0.425,273,298,-25.0
1655,Edmonton Oilers,1990,37,37,,0.463,272,272,0.0
1656,Hartford Whalers,1990,31,38,,0.388,238,276,-38.0
1657,Los Angeles Kings,1990,46,24,,0.575,340,254,86.0
1658,Minnesota North Stars,1990,27,39,,0.338,256,266,-10.0
1659,Montreal Canadiens,1990,39,30,,0.487,273,249,24.0
1660,New Jersey Devils,1990,32,33,,0.4,272,264,8.0
1661,New York Islanders,1990,25,45,,0.312,223,290,-67.0
1662,New York Rangers,1990,36,31,,0.45,297,265,32.0
1663,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15.0
1664,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37.0
1665,Quebec Nordiques,1990,16,50,,0.2,236,354,-118.0
1666,St. Louis Blues,1990,47,22,,0.588,310,250,60.0
1667,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77.0
1668,Vancouver Canucks,1990,28,43,,0.35,243,315,-72.0
1669,Washington Capitals,1990,37,36,,0.463,258,258,0.0
1670,Winnipeg Jets,1990,26,43,,0.325,260,288,-28.0
1671,Boston Bruins,1991,36,32,,0.45,270,275,-5.0
1672,Buffalo Sabres,1991,31,37,,0.388,289,299,-10.0
1673,Calgary Flames,1991,31,37,,0.388,296,305,-9.0
1674,Chicago Blackhawks,1991,36,29,,0.45,257,236,21.0
1675,Detroit Red Wings,1991,43,25,,0.537,320,256,64.0
1676,Edmonton Oilers,1991,36,34,,0.45,295,297,-2.0
1677,Hartford Whalers,1991,26,41,,0.325,247,283,-36.0
1678,Los Angeles Kings,1991,35,31,,0.438,287,296,-9.0
1679,Minnesota North Stars,1991,32,42,,0.4,246,278,-32.0
1680,Montreal Canadiens,1991,41,28,,0.512,267,207,60.0
1681,New Jersey Devils,1991,38,31,,0.475,289,259,30.0
1682,New York Islanders,1991,34,35,,0.425,291,299,-8.0
1683,New York Rangers,1991,50,25,,0.625,321,246,75.0
1684,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21.0
1685,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35.0
1686,Quebec Nordiques,1991,20,48,,0.25,255,318,-63.0
1687,San Jose Sharks,1991,17,58,,0.212,219,359,-140.0
1688,St. Louis Blues,1991,36,33,,0.45,279,266,13.0
1689,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60.0
1690,Vancouver Canucks,1991,42,26,,0.525,285,250,35.0
1691,Washington Capitals,1991,45,27,,0.562,330,275,55.0
1692,Winnipeg Jets,1991,33,32,,0.412,251,244,7.0
1693,Boston Bruins,1992,51,26,,0.607,332,268,64.0
1694,Buffalo Sabres,1992,38,36,,0.452,335,297,38.0
1695,Calgary Flames,1992,43,30,,0.512,322,282,40.0
1696,Chicago Blackhawks,1992,47,25,,0.56,279,230,49.0
1697,Detroit Red Wings,1992,47,28,,0.56,369,280,89.0
1698,Edmonton Oilers,1992,26,50,,0.31,242,337,-95.0
1699,Hartford Whalers,1992,26,52,,0.31,284,369,-85.0
1700,Los Angeles Kings,1992,39,35,,0.464,338,340,-2.0
1701,Minnesota North Stars,1992,36,38,,0.429,272,293,-21.0
1702,Montreal Canadiens,1992,48,30,,0.571,326,280,46.0
1703,New Jersey Devils,1992,40,37,,0.476,308,299,9.0
1704,New York Islanders,1992,40,37,,0.476,335,297,38.0
1705,New York Rangers,1992,34,39,,0.405,304,308,-4.0
1706,Ottawa Senators,1992,10,70,,0.119,202,395,-193.0
1707,Philadelphia Flyers,1992,36,37,,0.429,319,319,0.0
1708,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99.0
1709,Quebec Nordiques,1992,47,27,,0.56,351,300,51.0
1710,San Jose Sharks,1992,11,71,,0.131,218,414,-196.0
1711,St. Louis Blues,1992,37,36,,0.44,282,278,4.0
1712,Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87.0
1713,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47.0
1714,Vancouver Canucks,1992,46,29,,0.548,346,278,68.0
1715,Washington Capitals,1992,43,34,,0.512,325,286,39.0
1716,Winnipeg Jets,1992,40,37,,0.476,322,320,2.0
1717,Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22.0
1718,Boston Bruins,1993,42,29,,0.5,289,252,37.0
1719,Buffalo Sabres,1993,43,32,,0.512,282,218,64.0
1720,Calgary Flames,1993,42,29,,0.5,302,256,46.0
1721,Chicago Blackhawks,1993,39,36,,0.464,254,240,14.0
1722,Dallas Stars,1993,42,29,,0.5,286,265,21.0
1723,Detroit Red Wings,1993,46,30,,0.548,356,275,81.0
1724,Edmonton Oilers,1993,25,45,,0.298,261,305,-44.0
1725,Florida Panthers,1993,33,34,,0.393,233,233,0.0
1726,Hartford Whalers,1993,27,48,,0.321,227,288,-61.0
1727,Los Angeles Kings,1993,27,45,,0.321,294,322,-28.0
1728,Montreal Canadiens,1993,41,29,,0.488,283,248,35.0
1729,New Jersey Devils,1993,47,25,,0.56,306,220,86.0
1730,New York Islanders,1993,36,36,,0.429,282,264,18.0
1731,New York Rangers,1993,52,24,,0.619,299,231,68.0
1732,Ottawa Senators,1993,14,61,,0.167,201,397,-196.0
1733,Philadelphia Flyers,1993,35,39,,0.417,294,314,-20.0
1734,Pittsburgh Penguins,1993,44,27,,0.524,299,285,14.0
1735,Quebec Nordiques,1993,34,42,,0.405,277,292,-15.0
1736,San Jose Sharks,1993,33,35,,0.393,252,265,-13.0
1737,St. Louis Blues,1993,40,33,,0.476,270,283,-13.0
1738,Tampa Bay Lightning,1993,30,43,,0.357,224,251,-27.0
1739,Toronto Maple Leafs,1993,43,29,,0.512,280,243,37.0
1740,Vancouver Canucks,1993,41,40,,0.488,279,276,3.0
1741,Washington Capitals,1993,39,35,,0.464,277,263,14.0
1742,Winnipeg Jets,1993,24,51,,0.286,245,344,-99.0
1743,Mighty Ducks of Anaheim,1994,16,27,,0.333,125,164,-39.0
1744,Boston Bruins,1994,27,18,,0.562,150,127,23.0
1745,Buffalo Sabres,1994,22,19,,0.458,130,119,11.0
1746,Calgary Flames,1994,24,17,,0.5,163,135,28.0
1747,Chicago Blackhawks,1994,24,19,,0.5,156,115,41.0
1748,Dallas Stars,1994,17,23,,0.354,136,135,1.0
1749,Detroit Red Wings,1994,33,11,,0.688,180,117,63.0
1750,Edmonton Oilers,1994,17,27,,0.354,136,183,-47.0
1751,Florida Panthers,1994,20,22,,0.417,115,127,-12.0
1752,Hartford Whalers,1994,19,24,,0.396,127,141,-14.0
1753,Los Angeles Kings,1994,16,23,,0.333,142,174,-32.0
1754,Montreal Canadiens,1994,18,23,,0.375,125,148,-23.0
1755,New Jersey Devils,1994,22,18,,0.458,136,121,15.0
1756,New York Islanders,1994,15,28,,0.312,126,158,-32.0
1757,New York Rangers,1994,22,23,,0.458,139,134,5.0
1758,Ottawa Senators,1994,9,34,,0.188,117,174,-57.0
1759,Philadelphia Flyers,1994,28,16,,0.583,150,132,18.0
1760,Pittsburgh Penguins,1994,29,16,,0.604,181,158,23.0
1761,Quebec Nordiques,1994,30,13,,0.625,185,134,51.0
1762,San Jose Sharks,1994,19,25,,0.396,129,161,-32.0
1763,St. Louis Blues,1994,28,15,,0.583,178,135,43.0
1764,Tampa Bay Lightning,1994,17,28,,0.354,120,144,-24.0
1765,Toronto Maple Leafs,1994,21,19,,0.438,135,146,-11.0
1766,Vancouver Canucks,1994,18,18,,0.375,153,148,5.0
1767,Washington Capitals,1994,22,18,,0.458,136,120,16.0
1768,Winnipeg Jets,1994,16,25,,0.333,157,177,-20.0
1769,Mighty Ducks of Anaheim,1995,35,39,,0.427,234,247,-13.0
1770,Boston Bruins,1995,40,31,,0.488,282,269,13.0
1771,Buffalo Sabres,1995,33,42,,0.402,247,262,-15.0
1772,Calgary Flames,1995,34,37,,0.415,241,240,1.0
1773,Chicago Blackhawks,1995,40,28,,0.488,273,220,53.0
1774,Colorado Avalanche,1995,47,25,,0.573,326,240,86.0
1775,Dallas Stars,1995,26,42,,0.317,227,280,-53.0
1776,Detroit Red Wings,1995,62,13,,0.756,325,181,144.0
1777,Edmonton Oilers,1995,30,44,,0.366,240,304,-64.0
1778,Florida Panthers,1995,41,31,,0.5,254,234,20.0
1779,Hartford Whalers,1995,34,39,,0.415,237,259,-22.0
1780,Los Angeles Kings,1995,24,40,,0.293,256,302,-46.0
1781,Montreal Canadiens,1995,40,32,,0.488,265,248,17.0
1782,New Jersey Devils,1995,37,33,,0.451,215,202,13.0
1783,New York Islanders,1995,22,50,,0.268,229,315,-86.0
1784,New York Rangers,1995,41,27,,0.5,272,237,35.0
1785,Ottawa Senators,1995,18,59,,0.22,191,291,-100.0
1786,Philadelphia Flyers,1995,45,24,,0.549,282,208,74.0
1787,Pittsburgh Penguins,1995,49,29,,0.598,362,284,78.0
1788,San Jose Sharks,1995,20,55,,0.244,252,357,-105.0
1789,St. Louis Blues,1995,32,34,,0.39,219,248,-29.0
1790,Tampa Bay Lightning,1995,38,32,,0.463,238,248,-10.0
1791,Toronto Maple Leafs,1995,34,36,,0.415,247,252,-5.0
1792,Vancouver Canucks,1995,32,35,,0.39,278,278,0.0
1793,Washington Capitals,1995,39,32,,0.476,234,204,30.0
1794,Winnipeg Jets,1995,36,40,,0.439,275,291,-16.0
1795,Mighty Ducks of Anaheim,1996,36,33,,0.439,245,233,12.0
1796,Boston Bruins,1996,26,47,,0.317,234,300,-66.0
1797,Buffalo Sabres,1996,40,30,,0.488,237,208,29.0
1798,Calgary Flames,1996,32,41,,0.39,214,239,-25.0
1799,Chicago Blackhawks,1996,34,35,,0.415,223,210,13.0
1800,Colorado Avalanche,1996,49,24,,0.598,277,205,72.0
1801,Dallas Stars,1996,48,26,,0.585,252,198,54.0
1802,Detroit Red Wings,1996,38,26,,0.463,253,197,56.0
1803,Edmonton Oilers,1996,36,37,,0.439,252,247,5.0
1804,Florida Panthers,1996,35,28,,0.427,221,201,20.0
1805,Hartford Whalers,1996,32,39,,0.39,226,256,-30.0
1806,Los Angeles Kings,1996,28,43,,0.341,214,268,-54.0
1807,Montreal Canadiens,1996,31,36,,0.378,249,276,-27.0
1808,New Jersey Devils,1996,45,23,,0.549,231,182,49.0
1809,New York Islanders,1996,29,41,,0.354,240,250,-10.0
1810,New York Rangers,1996,38,34,,0.463,258,231,27.0
1811,Ottawa Senators,1996,31,36,,0.378,226,234,-8.0
1812,Philadelphia Flyers,1996,45,24,,0.549,274,217,57.0
1813,Phoenix Coyotes,1996,38,37,,0.463,240,243,-3.0
1814,Pittsburgh Penguins,1996,38,36,,0.463,285,280,5.0
1815,San Jose Sharks,1996,27,47,,0.329,211,278,-67.0
1816,St. Louis Blues,1996,36,35,,0.439,236,239,-3.0
1817,Tampa Bay Lightning,1996,32,40,,0.39,217,247,-30.0
1818,Toronto Maple Leafs,1996,30,44,,0.366,230,273,-43.0
1819,Vancouver Canucks,1996,35,40,,0.427,257,273,-16.0
1820,Washington Capitals,1996,33,40,,0.402,214,231,-17.0
1821,Mighty Ducks of Anaheim,1997,26,43,,0.317,205,261,-56.0
1822,Boston Bruins,1997,39,30,,0.476,221,194,27.0
1823,Buffalo Sabres,1997,36,29,,0.439,211,187,24.0
1824,Calgary Flames,1997,26,41,,0.317,217,252,-35.0
1825,Carolina Hurricanes,1997,33,41,,0.402,200,219,-19.0
1826,Chicago Blackhawks,1997,30,39,,0.366,192,199,-7.0
1827,Colorado Avalanche,1997,39,26,,0.476,231,205,26.0
1828,Dallas Stars,1997,49,22,,0.598,242,167,75.0
1829,Detroit Red Wings,1997,44,23,,0.537,250,196,54.0
1830,Edmonton Oilers,1997,35,37,,0.427,215,224,-9.0
1831,Florida Panthers,1997,24,43,,0.293,203,256,-53.0
1832,Los Angeles Kings,1997,38,33,,0.463,227,225,2.0
1833,Montreal Canadiens,1997,37,32,,0.451,235,208,27.0
1834,New Jersey Devils,1997,48,23,,0.585,225,166,59.0
1835,New York Islanders,1997,30,41,,0.366,212,225,-13.0
1836,New York Rangers,1997,25,39,,0.305,197,231,-34.0
1837,Ottawa Senators,1997,34,33,,0.415,193,200,-7.0
1838,Philadelphia Flyers,1997,42,29,,0.512,242,193,49.0
1839,Phoenix Coyotes,1997,35,35,,0.427,224,227,-3.0
1840,Pittsburgh Penguins,1997,40,24,,0.488,228,188,40.0
1841,San Jose Sharks,1997,34,38,,0.415,210,216,-6.0
1842,St. Louis Blues,1997,45,29,,0.549,256,204,52.0
1843,Tampa Bay Lightning,1997,17,55,,0.207,151,269,-118.0
1844,Toronto Maple Leafs,1997,30,43,,0.366,194,237,-43.0
1845,Vancouver Canucks,1997,25,43,,0.305,224,273,-49.0
1846,Washington Capitals,1997,40,30,,0.488,219,202,17.0
1847,Mighty Ducks of Anaheim,1998,35,34,,0.427,215,206,9.0
1848,Boston Bruins,1998,39,30,,0.476,214,181,33.0
1849,Buffalo Sabres,1998,37,28,,0.451,207,175,32.0
1850,Calgary Flames,1998,30,40,,0.366,211,234,-23.0
1851,Carolina Hurricanes,1998,34,30,,0.415,210,202,8.0
1852,Chicago Blackhawks,1998,29,41,,0.354,202,248,-46.0
1853,Colorado Avalanche,1998,44,28,,0.537,239,205,34.0
1854,Dallas Stars,1998,51,19,,0.622,236,168,68.0
1855,Detroit Red Wings,1998,43,32,,0.524,245,202,43.0
1856,Edmonton Oilers,1998,33,37,,0.402,230,226,4.0
1857,Florida Panthers,1998,30,34,,0.366,210,228,-18.0
1858,Los Angeles Kings,1998,32,45,,0.39,189,222,-33.0
1859,Montreal Canadiens,1998,32,39,,0.39,184,209,-25.0
1860,Nashville Predators,1998,28,47,,0.341,190,261,-71.0
1861,New Jersey Devils,1998,47,24,,0.573,248,196,52.0
1862,New York Islanders,1998,24,48,,0.293,194,244,-50.0
1863,New York Rangers,1998,33,38,,0.402,217,227,-10.0
1864,Ottawa Senators,1998,44,23,,0.537,239,179,60.0
1865,Philadelphia Flyers,1998,37,26,,0.451,231,196,35.0
1866,Phoenix Coyotes,1998,39,31,,0.476,205,197,8.0
1867,Pittsburgh Penguins,1998,38,30,,0.463,242,225,17.0
1868,San Jose Sharks,1998,31,33,,0.378,196,191,5.0
1869,St. Louis Blues,1998,37,32,,0.451,237,209,28.0
1870,Tampa Bay Lightning,1998,19,54,,0.232,179,292,-113.0
1871,Toronto Maple Leafs,1998,45,30,,0.549,268,231,37.0
1872,Vancouver Canucks,1998,23,47,,0.28,192,258,-66.0
1873,Washington Capitals,1998,31,45,,0.378,200,218,-18.0
1874,Mighty Ducks of Anaheim,1999,34,33,3,0.415,217,227,-10.0
1875,Atlanta Thrashers,1999,14,57,4,0.171,170,313,-143.0
1876,Boston Bruins,1999,24,33,6,0.293,210,248,-38.0
1877,Buffalo Sabres,1999,35,32,4,0.427,213,204,9.0
1878,Calgary Flames,1999,31,36,5,0.378,211,256,-45.0
1879,Carolina Hurricanes,1999,37,35,0,0.451,217,216,1.0
1880,Chicago Blackhawks,1999,33,37,2,0.402,242,245,-3.0
1881,Colorado Avalanche,1999,42,28,1,0.512,233,201,32.0
1882,Dallas Stars,1999,43,23,6,0.524,211,184,27.0
1883,Detroit Red Wings,1999,48,22,2,0.585,278,210,68.0
1884,Edmonton Oilers,1999,32,26,8,0.39,226,212,14.0
1885,Florida Panthers,1999,43,27,6,0.524,244,209,35.0
1886,Los Angeles Kings,1999,39,27,4,0.476,245,228,17.0
1887,Montreal Canadiens,1999,35,34,4,0.427,196,194,2.0
1888,Nashville Predators,1999,28,40,7,0.341,199,240,-41.0
1889,New Jersey Devils,1999,45,24,5,0.549,251,203,48.0
1890,New York Islanders,1999,24,48,1,0.293,194,275,-81.0
1891,New York Rangers,1999,29,38,3,0.354,218,246,-28.0
1892,Ottawa Senators,1999,41,28,2,0.5,244,210,34.0
1893,Philadelphia Flyers,1999,45,22,3,0.549,237,179,58.0
1894,Phoenix Coyotes,1999,39,31,4,0.476,232,228,4.0
1895,Pittsburgh Penguins,1999,37,31,6,0.451,241,236,5.0
1896,San Jose Sharks,1999,35,30,7,0.427,225,214,11.0
1897,St. Louis Blues,1999,51,19,1,0.622,248,165,83.0
1898,Tampa Bay Lightning,1999,19,47,7,0.232,204,310,-106.0
1899,Toronto Maple Leafs,1999,45,27,3,0.549,246,222,24.0
1900,Vancouver Canucks,1999,30,29,8,0.366,227,237,-10.0
1901,Washington Capitals,1999,44,24,2,0.537,227,194,33.0
1902,Mighty Ducks of Anaheim,2000,25,41,5,0.305,188,245,-57.0
1903,Atlanta Thrashers,2000,23,45,2,0.28,211,289,-78.0
1904,Boston Bruins,2000,36,30,8,0.439,227,249,-22.0
1905,Buffalo Sabres,2000,46,30,1,0.561,218,184,34.0
1906,Calgary Flames,2000,27,36,4,0.329,197,236,-39.0
1907,Carolina Hurricanes,2000,38,32,3,0.463,212,225,-13.0
1908,Columbus Blue Jackets,2000,28,39,6,0.341,190,233,-43.0
1909,Chicago Blackhawks,2000,29,40,5,0.354,210,246,-36.0
1910,Colorado Avalanche,2000,52,16,4,0.634,270,192,78.0
1911,Dallas Stars,2000,48,24,2,0.585,241,187,54.0
1912,Detroit Red Wings,2000,49,20,4,0.598,253,202,51.0
1913,Edmonton Oilers,2000,39,28,3,0.476,243,222,21.0
1914,Florida Panthers,2000,22,38,9,0.268,200,246,-46.0
1915,Los Angeles Kings,2000,38,28,3,0.463,252,228,24.0
1916,Minnesota Wild,2000,25,39,5,0.305,168,210,-42.0
1917,Montreal Canadiens,2000,28,40,6,0.341,206,232,-26.0
1918,Nashville Predators,2000,34,36,3,0.415,186,200,-14.0
1919,New Jersey Devils,2000,48,19,3,0.585,295,195,100.0
1920,New York Islanders,2000,21,51,3,0.256,185,268,-83.0
1921,New York Rangers,2000,33,43,1,0.402,250,290,-40.0
1922,Ottawa Senators,2000,48,21,4,0.585,274,205,69.0
1923,Philadelphia Flyers,2000,43,25,3,0.524,240,207,33.0
1924,Phoenix Coyotes,2000,35,27,3,0.427,214,212,2.0
